ccodealp,ccode,cname,ccodecow,wdi_dgovhexp,wdi_lifexp,wdi_pop,continent,vdem_corr,wdi_popurb,wdi_poprul,wvs_pmi12,wvs_pmi4,wvs_auton,wdi_litrad,wdi_chexppgdp,undp_hdi,wdi_hwf,wdi_hwfr,wdi_hwfu,who_let,ht_colonial,mad_gdppc1600,mad_gdppc1700,mad_gdppc1900,bti_ds,sgi_qd,vdem_libdem,wdi_gdpcapcon2015,wdi_gdpcappppcon2021,wdi_gdppppcon2021,wdi_incsh10h,gd_ptsh,gd_ptsa,wbgi_pve
AFG,4,Afghanistan,700,0.18147056,65.617,40578842,Asia,0.567,25.3939250580909,74.6060749419091,NA,NA,NA,37.2700004577637,23.088169099999998,0.495,49.8701224500955,45.8631563647673,60.917883669948,59.12690224,0,NA,NA,NA,1.8666666666666667,NA,0.012,377.6656270807047,1981.7101681056115,80415503801.35104,NA,5,5,-2.4492487
ALB,8,Albania,339,2.79900384,78.769,2451636,Europe,0.558,57.8643477747383,42.1356522252617,NA,NA,NA,97.6800003051758,6.19368076,0.806,NA,NA,NA,76.39089034,0,NA,NA,1092,7.5,NA,0.433,5867.650962305566,19388.855060256377,47534415064.5067,22.8,NA,1,0.01154249999999999
DZA,12,Algeria,615,1.71722472,76.129,45477389,Africa,0.67,74.1795862354514,25.820413764548604,NA,NA,NA,NA,3.6230433,0.761,84.8040936819636,75.3332602781786,87.9995493535777,75.97765182,6,NA,NA,NA,4.6,NA,0.115,4544.466880603715,14782.20029702472,672255873183.7087,NA,3,3,-0.8074555
AND,20,Andorra,232,5.53698158,84.016,79705,Europe,NA,88.7548766267286,11.245123373271396,NA,NA,NA,NA,7.53678846,0.893,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,39780.41529918336,63913.38350791049,5094216232.498006,NA,NA,1,1.5497162999999998
AGO,24,Angola,540,1.51054609,64.246,35635029,Africa,0.564,69.0506188977513,30.949381102248697,NA,NA,NA,NA,2.92737579,0.615,36.6275668629378,19.1438128720918,44.824625714886,62.13113467,7,NA,NA,NA,4.45,NA,0.154,2860.9025192224644,8950.142592551425,318938590839.7052,NA,3,3,-0.5414068
ATG,28,Antigua and Barbuda,58,3.28934598,77.483,92840,Americas,NA,24.5114484000414,75.4885515999586,NA,NA,NA,NA,5.7299943,0.848,NA,NA,NA,76.91527032,5,NA,NA,NA,NA,NA,NA,17456.872224310424,27941.785147476243,2594115333.0916944,NA,NA,NA,1.0787211
AZE,31,Azerbaijan,373,1.20668018,74.125,10141756,Asia,0.912,58.4382815854684,41.5617184145316,NA,NA,NA,99.7799987792969,3.97840643,0.784,94.768575395562,94.0331163834585,95.3195554340126,72.9129401,0,NA,NA,NA,3.5833333333333335,NA,0.062,5599.585249710247,21051.24422916121,213496582468.56107,NA,4,4,-0.5420480999999999
ARG,32,Argentina,160,5.7569623,75.806,45407904,Americas,0.48,92.112838186126,7.887161813874002,NA,NA,NA,99.1399993896484,9.86305332,0.858,NA,NA,NA,74.56898059,2,NA,NA,4583,7.45,NA,0.661,13276.823211018853,27825.0273492567,1263476170672.4226,29.8,3,2,0.05764379999999999
AUS,36,Australia,900,7.35998535,83.2,26018721,Oceania,0.032,87.3343268253813,12.665673174618703,NA,NA,NA,NA,9.92687893,0.952,NA,NA,NA,83.10183853,0,NA,NA,6397,NA,7.3,0.8,61200.45889647808,60029.13291907325,1561881261293.2825,25.5,1,1,0.9015353
AUT,40,Austria,305,8.64332867,81.2951219512195,9041851,Europe,0.111,68.998085127906,31.001914872094005,NA,NA,NA,NA,11.15729332,0.927,NA,NA,NA,80.99297519,0,NA,NA,4594,NA,7.266666666666667,0.762,47332.424035797136,65694.55132872541,594000344626.1873,24.6,NA,1,0.6005165
BHS,44,Bahamas (the),31,4.06823969,74.491,397538,Americas,NA,81.3200717047725,18.679928295227494,NA,NA,NA,NA,7.21692038,0.818,NA,NA,NA,70.43274063,5,NA,NA,NA,NA,NA,NA,32186.457503923662,34342.92853165692,13652619122.61783,NA,NA,NA,0.8592816
BHR,48,Bahrain,692,2.49091506,80.992,1524693,Asia,0.542,100,0,NA,NA,NA,97.870002746582,3.83745313,0.902,100,NA,NA,74.38371772,5,NA,NA,NA,3.2166666666666663,NA,0.054,25234.402561820025,57572.997981017965,87781147010.67223,NA,3,3,-0.4825496
BGD,50,Bangladesh,771,0.1549108,74.265,169384897,Asia,0.918,31.673734726234,68.326265273766,NA,NA,NA,79,2.39038587,0.68,65.2346745549199,59.0069716354137,74.6895339514167,73.10251672,5,NA,NA,NA,4.033333333333333,NA,0.095,1804.349346177604,7888.1638909830435,1336135828193.282,25.5,4,4,-1.0954422
ARM,51,Armenia,371,1.71535861,74.7658536585366,2969200,Asia,0.32,65.5624462874485,34.437553712551505,1.2849692450006065,1.5997986445415815,0.4752751219187753,99.8199996948242,9.96212864,0.801,94.4236612919267,90.2639014517619,96.8071806338972,72.98458202,0,NA,NA,NA,6.9,NA,0.443,4791.004817121827,17886.178387716784,53107640868.80867,23,3,3,-0.3556235
BRB,52,Barbados,53,2.83460712,75.676,282318,Americas,0.061,59.3538514107686,40.6461485892314,NA,NA,NA,NA,6.29389191,0.807,NA,NA,NA,76.8418344,5,NA,NA,NA,NA,NA,0.673,20472.949404864703,20716.28513049661,5848580185.471541,NA,NA,NA,1.2066625
BEL,56,Belgium,211,8.09132671,81.7487804878049,11680210,Europe,0.031,87.489200269855,12.510799730144996,NA,NA,NA,NA,10.76192474,0.945,NA,NA,NA,81.5059627,0,2533,2192,5947,NA,7.3375,0.837,44486.7438563594,62561.78104532363,730734740583.3995,22.2,NA,1,0.2465264
BTN,64,Bhutan,760,2.14716125,72.754,780914,Asia,0.129,40.9365143617581,59.0634856382419,NA,NA,NA,64.9100036621094,4.38545895,0.695,92.5664620980505,92.9366720990756,92.0892377257337,74.87642848,5,NA,NA,NA,7.2,NA,0.47,3349.733096327985,14061.31202745876,10980675420.61093,22.7,NA,1,1.3224382
BOL,68,Bolivia (Plurinational State of),145,5.88703108,67.434,12077154,Americas,0.671,70.6352598708131,29.3647401291869,NA,NA,NA,95.5500030517578,8.43142891,0.727,26.9873672072752,21.8941428120988,29.0849156170796,65.41062535,2,NA,NA,1462,7,NA,0.343,3088.2412615524054,11487.714879919436,138738901712.87854,30.4,2,2,-0.17060889999999998
BIH,70,Bosnia and Herzegovina,346,5.73453379,76.777,3204802,Europe,0.757,51.0215287060993,48.9784712939007,NA,1.728719772168742,NA,NA,8.71644783,0.799,NA,NA,NA,74.84944487,0,NA,NA,NA,5.55,NA,0.344,6327.162068491737,19298.18149037516,61846850636.71729,NA,2,2,-0.2480564
BWA,72,Botswana,571,4.30165005,68.749,2439892,Africa,0.275,66.5889787170477,33.411021282952305,NA,NA,NA,NA,5.72838593,0.729,NA,NA,NA,61.23119159,5,NA,NA,NA,8.1,NA,0.461,7159.586061826801,18647.373458883187,45497577323.341415,NA,NA,1,1.0798421
BRA,76,Brazil,140,4.10490513,74.872,210306415,Americas,0.543,87.349556243881,12.650443756119005,NA,NA,NA,94.3853874531348,9.14277458,0.78,NA,NA,NA,72.38840694,7,NA,NA,874,6.9,NA,0.545,9032.08377657776,18554.04618285188,3902034936460.013,41,4,4,-0.4157969
BLZ,84,Belize,80,2.63710809,72.19,402733,Americas,NA,42.1373251262137,57.8626748737863,NA,NA,NA,87.879997253418,4.23173904,0.717,90.2882901757885,88.686675515448,92.1387279856472,73.32055336,5,NA,NA,NA,NA,NA,NA,6262.560882736742,12565.364582957618,5060486974.58827,NA,NA,NA,0.7353533
SLB,90,Solomon Islands,940,3.32158995,70.409,781066,Oceania,0.639,29.3511689856806,70.6488310143194,NA,NA,NA,NA,4.82369328,0.583,38.6363930828394,28.4039544441425,70.6692921032547,64.79245685,5,NA,NA,NA,NA,NA,0.478,1788.6172792205748,2330.10309195408,1819964301.6202052,NA,NA,NA,0.7315157
BRN,96,Brunei Darussalam,835,1.67847669,72.917,455370,Asia,NA,74.7772642014221,25.2227357985779,NA,NA,NA,NA,1.81768215,0.825,NA,NA,NA,76.92260844,5,NA,NA,NA,NA,NA,NA,28549.17560604654,76357.82911499603,34771064644.09574,NA,NA,1,1.175984
BGR,100,Bulgaria,355,4.79345798,74.16097560975611,6465097,Europe,0.311,73.4799164005224,26.5200835994776,NA,NA,NA,NA,7.66357517,0.835,NA,NA,NA,71.30586,0,NA,NA,NA,7.2,5.391666666666667,0.614,9597.867964065475,32433.883090623684,209688200267.5419,30.1,NA,2,0.32697329999999997
MMR,104,Myanmar,775,0.57522529,66.506,53756787,Asia,0.772,30.311095757938,69.688904242062,1.8491666666666664,1.8866666666666667,0.5582047685834503,93.5471293315427,5.20476246,0.606,74.5855887889725,70.6572313001093,83.0218230017769,67.84580637,5,NA,NA,NA,1.7333333333333332,NA,0.016,1174.7669794736432,5350.476668999314,287624434643.8656,NA,5,5,-2.2412758
BDI,108,Burundi,516,1.58699203,62.882,13321097,Africa,0.722,22.3202446002597,77.6797553997403,NA,NA,NA,71.4078166079164,8.39522648,0.437,6.30358974118388,4.09906749780603,19.3901970241544,64.00694993,8,NA,NA,NA,3.55,NA,0.08,263.5875500516377,1031.254122431752,13737436196.563244,29.9,4,4,-1.2808952999999998
BLR,112,Belarus,370,4.49853516,74.10336585365854,9228071,Europe,0.411,78.4732787892908,21.5267212107092,NA,NA,NA,99.870002746582,6.65919876,0.824,NA,NA,NA,73.12324771,0,NA,NA,NA,3.4666666666666663,NA,0.037,6206.61909685419,26537.50830816744,244890010830.859,20.7,4,4,-0.6168791
KHM,116,Cambodia,811,1.17248797,70.528,17201724,Asia,0.895,40.374616187368,59.625383812632,NA,NA,NA,71.9300003051758,4.71089554,0.602,83.0101994582912,80.8546913398104,89.4375925874121,68.92399972,6,NA,NA,NA,3.033333333333333,NA,0.062,2011.2743331326217,6458.368148808399,111095066386.193,NA,4,3,-0.0739156
