ccodealp,ccode,cname,ccodecow,wdi_dgovhexp,wdi_lifexp,wdi_pop,continent,vdem_corr,wdi_popurb,wdi_poprul,wvs_pmi12,wvs_pmi4,wvs_auton,wdi_litrad,wdi_chexppgdp,undp_hdi,wdi_hwf,wdi_hwfr,wdi_hwfu,who_let,ht_colonial,mad_gdppc1600,mad_gdppc1700,mad_gdppc1900,bti_ds,sgi_qd,vdem_libdem,wdi_gdpcapcon2015,wdi_gdpcappppcon2021,wdi_gdppppcon2021,wdi_incsh10h,gd_ptsh,gd_ptsa,wbgi_pve
AFG,4,Afghanistan,700,NA,NA,NA,Asia,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.068,NA,NA,NA,NA,NA,NA,NA
AFG,4,Afghanistan,700,NA,NA,NA,Asia,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.068,NA,NA,NA,NA,NA,NA,NA
AFG,4,Afghanistan,700,NA,NA,NA,Asia,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.068,NA,NA,NA,NA,NA,NA,NA
AFG,4,Afghanistan,700,NA,NA,NA,Asia,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.069,NA,NA,NA,NA,NA,NA,NA
AFG,4,Afghanistan,700,NA,NA,NA,Asia,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.069,NA,NA,NA,NA,NA,NA,NA
AFG,4,Afghanistan,700,NA,NA,NA,Asia,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.069,NA,NA,NA,NA,NA,NA,NA
AFG,4,Afghanistan,700,NA,NA,NA,Asia,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.068,NA,NA,NA,NA,NA,NA,NA
AFG,4,Afghanistan,700,NA,NA,NA,Asia,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
AFG,4,Afghanistan,700,NA,NA,NA,Asia,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.066,NA,NA,NA,NA,NA,NA,NA
AFG,4,Afghanistan,700,NA,NA,NA,Asia,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
AFG,4,Afghanistan,700,NA,NA,NA,Asia,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
AFG,4,Afghanistan,700,NA,NA,NA,Asia,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
AFG,4,Afghanistan,700,NA,NA,NA,Asia,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
AFG,4,Afghanistan,700,NA,NA,NA,Asia,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
AFG,4,Afghanistan,700,NA,32.799,9035043,Asia,0.477,8.12255149340207,91.87744850659791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
AFG,4,Afghanistan,700,NA,33.291,9214083,Asia,0.477,8.38959494931345,91.61040505068657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
AFG,4,Afghanistan,700,NA,33.757,9404406,Asia,0.477,8.66266423654956,91.33733576345044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
AFG,4,Afghanistan,700,NA,34.201,9604487,Asia,0.477,8.94270943787613,91.05729056212388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.071,NA,NA,NA,NA,NA,NA,NA
AFG,4,Afghanistan,700,NA,34.673,9814318,Asia,0.477,9.23113447844093,90.76886552155906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.092,NA,NA,NA,NA,NA,NA,NA
